coda,nucleus,onset,jyutping,tone
ng,aa,g,gaang6,6
i,aa,g,gaai1,1
i,aa,g,gaai2,2
i,aa,g,gaai3,3
i,aa,g,gaai4,4
i,aa,g,gaai5,5
i,aa,g,gaai6,6
u,aa,g,gaau1,1
u,aa,g,gaau2,2
u,aa,g,gaau3,3
u,aa,g,gaau4,4
u,aa,g,gaau5,5
u,aa,g,gaau6,6
,aa,g,gaa1,1
,aa,g,gaa2,2
,aa,g,gaa3,3
,aa,g,gaa4,4
,aa,g,gaa5,5
,aa,g,gaa6,6
p,a,g,gap1,1
p,a,g,gap2,2
p,a,g,gap3,3
p,a,g,gap4,4
p,a,g,gap5,5
p,a,g,gap6,6
t,a,g,gat1,1
t,a,g,gat2,2
t,a,g,gat3,3
t,a,g,gat4,4
t,a,g,gat5,5
t,a,g,gat6,6
k,a,g,gak1,1
k,a,g,gak2,2
k,a,g,gak3,3
k,a,g,gak4,4
k,a,g,gak5,5
k,a,g,gak6,6
m,a,g,gam1,1
m,a,g,gam2,2
m,a,g,gam3,3
m,a,g,gam4,4
m,a,g,gam5,5
m,a,g,gam6,6
n,a,g,gan1,1
n,a,g,gan2,2
n,a,g,gan3,3
n,a,g,gan4,4
n,a,g,gan5,5
n,a,g,gan6,6
ng,a,g,gang1,1
ng,a,g,gang2,2
ng,a,g,gang3,3
ng,a,g,gang4,4
ng,a,g,gang5,5
ng,a,g,gang6,6
i,a,g,gai1,1
i,a,g,gai2,2
i,a,g,gai3,3
i,a,g,gai4,4
i,a,g,gai5,5
i,a,g,gai6,6
u,a,g,gau1,1
u,a,g,gau2,2
u,a,g,gau3,3
u,a,g,gau4,4
u,a,g,gau5,5
u,a,g,gau6,6
,a,g,ga1,1
,a,g,ga2,2
,a,g,ga3,3
,a,g,ga4,4
,a,g,ga5,5
,a,g,ga6,6
p,i,g,gip1,1
p,i,g,gip2,2
p,i,g,gip3,3
p,i,g,gip4,4
p,i,g,gip5,5
p,i,g,gip6,6
t,i,g,git1,1
t,i,g,git2,2
t,i,g,git3,3
t,i,g,git4,4
t,i,g,git5,5
t,i,g,git6,6
k,i,g,gik1,1
k,i,g,gik2,2
k,i,g,gik3,3
k,i,g,gik4,4
k,i,g,gik5,5
k,i,g,gik6,6
m,i,g,gim1,1
m,i,g,gim2,2
m,i,g,gim3,3
m,i,g,gim4,4
m,i,g,gim5,5
m,i,g,gim6,6
n,i,g,gin1,1
n,i,g,gin2,2
n,i,g,gin3,3
